key,ko,context
"CH01-UI-S09-TITLE","해 뜨기 전의 북문","장면 제목"
"CH01-UI-COMPLETE-TITLE","제1장 완료","챕터 종료 카드"
"CH01-UI-COMPLETE-SUBTITLE","객잔의 구검","챕터 종료 카드"
"CH01-UI-NEXT-TITLE","다음","챕터 종료 카드"
"CH01-UI-NEXT-CHAPTER","해 뜨기 전의 북문","챕터 종료 카드"
"CH01-C00-PRIORITY-CAPTURE-LABEL","지휘관을 묶는다","S00 선택"
"CH01-C00-PRIORITY-CAPTURE-DESCRIPTION","깃발과 명령을 끊는다. 피난민 통로는 한 박자 늦게 열린다.","S00 선택 대가"
"CH01-C00-PRIORITY-OPEN-PATH-LABEL","길을 먼저 연다","S00 선택"
"CH01-C00-PRIORITY-OPEN-PATH-DESCRIPTION","피난민을 즉시 통과시킨다. 지휘관은 놓칠 수 있다.","S00 선택 대가"
"CH01-C02-QUESTION-FACTION-LABEL","누가 북문을 열려 하지?","S02 질문"
"CH01-C02-QUESTION-OUTSIDE-LABEL","문밖에 무엇이 있지?","S02 질문"
"CH01-C02-QUESTION-WHY-LABEL","왜 나를 골랐지?","S02 질문"
"CH01-C06-PRIORITY-TRACK-LABEL","도주자를 추적한다","S06 선택"
"CH01-C06-PRIORITY-TRACK-DESCRIPTION","배후 정보를 확보한다. 객잔 내부 부상 위험이 남는다.","S06 선택 대가"
"CH01-C06-PRIORITY-PROTECT-LABEL","사람들을 지킨다","S06 선택"
"CH01-C06-PRIORITY-PROTECT-DESCRIPTION","곽노삼과 복칠을 먼저 지킨다. 도주자는 놓친다.","S06 선택 대가"
"CH01-C06-PRIORITY-LOCKDOWN-LABEL","객잔 전체를 봉쇄한다","S06 선택"
"CH01-C06-PRIORITY-LOCKDOWN-DESCRIPTION","적을 모두 남긴다. 이연의 힘과 객잔 피해가 크게 드러난다.","S06 선택 대가"
"CH01-INT-S00-FOCUS-PROMPT","무엇을 먼저 본다","S00 인터랙션 안내"
"CH01-INT-S00-FOCUS-REFUGEES","피난민 마차","S00 포커스 지점"
"CH01-INT-S00-FOCUS-COMMANDER","기병 지휘관","S00 포커스 지점"
"CH01-INT-S00-HOLD-PROMPT","쇠사슬을 쥔다","S00 인터랙션 안내"
"CH01-INT-S00-PULL-PROMPT","쇠사슬을 당긴다","S00 인터랙션 안내"
"CH01-INT-S00-RECALL-PROMPT","검을 거둔다","S00 인터랙션 안내"
"CH01-INT-S04-FOCUS-PROMPT","무엇을 먼저 본다","S04 인터랙션 안내"
"CH01-INT-S04-FOCUS-WINDOW","창문에 비친 사수의 그림자","S04 포커스 지점"
"CH01-INT-S04-FOCUS-LAMP","넘어질 듯 흔들리는 등불","S04 포커스 지점"
"CH01-INT-S04-FOCUS-COURIER-HAND","행상인의 손에서 떨어진 쪽지","S04 포커스 지점"
"CH01-INT-S06-HOLD-PROMPT","결정을 거두지 않는다","S06 인터랙션 안내"
"CH01-INT-S08-AFTERMATH-PROMPT","남은 것을 본다","S08 인터랙션 안내"
"CH01-INT-S08-TRACK-INNKEEPER","곽노삼의 붕대","S08 추적 흔적"
"CH01-INT-S08-TRACK-FUGITIVE","묶인 도주자","S08 추적 흔적"
"CH01-INT-S08-TRACK-WAITER","복칠의 화상","S08 추적 흔적"
"CH01-INT-S08-PROTECT-WINDOW","열린 창문","S08 수호 흔적"
"CH01-INT-S08-PROTECT-BEAM","온전한 들보","S08 수호 흔적"
"CH01-INT-S08-PROTECT-MEDICINE","홍련이 남긴 약재함 흔적","S08 수호 흔적"
"CH01-INT-S08-LOCKDOWN-BEAM","그을린 들보","S08 봉쇄 흔적"
"CH01-INT-S08-LOCKDOWN-MARKS","출구의 검 자국","S08 봉쇄 흔적"
"CH01-INT-S08-LOCKDOWN-ONLOOKERS","창밖 구경꾼","S08 봉쇄 흔적"
"CH01-INT-S08-RECALL-PROMPT","검을 거둔다","S08 인터랙션 안내"
"CH01-INT-WEIGHTED-CONFIRM-PROMPT","결정을 거두지 않는다","공통 인터랙션 안내"
"CH01-CIN-S00-CAPTURE-PURPOSE","지휘관을 생포하고 피난민 통로를 연다.","S00 시네마틱 목적"
"CH01-CIN-S00-OPEN-PATH-PURPOSE","피난민 통로를 먼저 열고 기병대를 봉쇄한다.","S00 시네마틱 목적"
"CH01-CIN-S05-COMMON-PURPOSE","무음검대 9검으로 객잔의 첫 공격을 제압한다.","S05 시네마틱 목적"
"CH01-CIN-S07-TRACK-PURPOSE","도주자를 생포하고 북문 시간 단서를 확보하되 객잔 사람의 부상이 남는다.","S07A 시네마틱 목적"
"CH01-CIN-S07-PROTECT-PURPOSE","곽노삼과 복칠을 지키고 불길을 끊되 도주자를 놓친다.","S07B 시네마틱 목적"
"CH01-CIN-S07-LOCKDOWN-PURPOSE","아홉 검으로 모든 출구를 잇고 적을 남기되 객잔 피해와 힘의 노출을 감수한다.","S07C 시네마틱 목적"
"CH01-CIN-S09-DEPARTURE-PURPOSE","이연이 계약을 지키기 위해 검관을 끌고 북문으로 향한다.","S09 시네마틱 목적"
"CH01-CON-TRACK-01","선택한 원칙: 추적","추적 결과"
"CH01-CON-TRACK-02","곽노삼 어깨 부상 · 복칠 경상","추적 결과"
"CH01-CON-TRACK-03","도주자 생포 · 북문 교대 정보 확보","추적 결과"
"CH01-CON-TRACK-04","객잔 경미 손상 · 검 회수 9/9","추적 결과"
"CH01-CON-PROTECT-01","선택한 원칙: 수호","수호 결과"
"CH01-CON-PROTECT-02","곽노삼과 복칠 무사","수호 결과"
"CH01-CON-PROTECT-03","도주자 탈출 · 봉인 마차 정보 확보","수호 결과"
"CH01-CON-PROTECT-04","객잔 온전 · 검 회수 9/9","수호 결과"
"CH01-CON-LOCKDOWN-01","선택한 원칙: 봉쇄","봉쇄 결과"
"CH01-CON-LOCKDOWN-02","곽노삼 무사 · 복칠 경상","봉쇄 결과"
"CH01-CON-LOCKDOWN-03","적 전원 현장 제압 · 검은 표식 확보","봉쇄 결과"
"CH01-CON-LOCKDOWN-04","객잔 화재 손상 · 힘 노출 · 검 회수 9/9","봉쇄 결과"
